temperature,wind_speed
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
2.2,12.9
